
> format
> prettier --write .

[90m.github/workflows/automatic-transcription.yml[39m 36ms (unchanged)
[90m.github/workflows/ci.yml[39m 36ms (unchanged)
[90m.github/workflows/exam-engine.yml[39m 10ms (unchanged)
[[31merror[39m] .github/workflows/finalize-automatic-transcription-pr.yml: SyntaxError: A collection cannot be both a mapping and a sequence (1:1)
[[31merror[39m] [0m[31m[1m>[22m[39m[90m  1 |[39m name[33m:[39m [33mNormalize[39m automatic transcription [33mPR[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m 126 |[39m         run[33m:[39m [33m|[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m 127 |[39m           git config user[33m.[39mname [32m"github-actions[bot]"[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m 128 |[39m           git config user[33m.[39memail [32m"41898282+github-actions[bot]@users.noreply.github.com"[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m 129 |[39m           git add [33m-[39m[33mA[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m 130 |[39m           git commit [33m-[39mm [32m"chore: normalize automatic transcription delivery"[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m 131 |[39m           git push origin [33mHEAD[39m[33m:[39magent[33m/[39mautomatic[33m-[39mlong[33m-[39mmedia[33m-[39mtranscription
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m 132 |[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m[0m
[90m.github/workflows/long-media.yml[39m 7ms (unchanged)
[90m.lovable/project.json[39m 27ms (unchanged)
[90m.prettierrc[39m 5ms (unchanged)
[90mAGENTS.md[39m 42ms (unchanged)
[90mcomponents.json[39m 3ms (unchanged)
[90mDESIGN_SYSTEM.md[39m 45ms (unchanged)
[90mdocs/AUTOMATIC_TRANSCRIPTION.md[39m 28ms (unchanged)
[90mdocs/automatic-transcription-normalization-trigger.md[39m 1ms (unchanged)
[90mdocs/CONCEPT_EVIDENCE_MODEL.md[39m 61ms (unchanged)
[90mdocs/CONCEPT_REVIEW_COLLISION_GUARD.md[39m 3ms (unchanged)
[90mdocs/EXAM_ENGINE_V1.md[39m 7ms (unchanged)
[90mdocs/FLASHCARDS_AND_QUIZ_CONTRACT.md[39m 12ms (unchanged)
[90mdocs/LIVE_OCR_VALIDATION.md[39m 9ms (unchanged)
[90mdocs/LONG_MEDIA_ARCHITECTURE.md[39m 14ms (unchanged)
[90mdocs/OCR_ARCHITECTURE.md[39m 20ms (unchanged)
[90mdocs/P0-020_PLAN.md[39m 6ms (unchanged)
[90mdocs/ROUTE_AUDIT.md[39m 17ms (unchanged)
[90meslint.config.js[39m 17ms (unchanged)
[90mevals/golden-quiz-manifest.json[39m 26ms (unchanged)
[90mevals/manifest.json[39m 20ms (unchanged)
[90mevals/README.md[39m 12ms (unchanged)
[90mpackage.json[39m 4ms (unchanged)
[90mPILOT.md[39m 21ms (unchanged)
[90mPLANS.md[39m 31ms (unchanged)
[90mREADME.md[39m 4ms (unchanged)
[90mROADMAP.md[39m 84ms (unchanged)
[90mscripts/check.mjs[39m 10ms (unchanged)
scripts/run-automatic-transcription-browser-e2e.mjs 78ms
scripts/run-automatic-transcription-evals.mjs 21ms
[90mscripts/run-built-preview.mjs[39m 19ms (unchanged)
[90mscripts/run-concept-collision-browser-e2e.mjs[39m 37ms (unchanged)
[90mscripts/run-concept-evidence-evals.mjs[39m 14ms (unchanged)
[90mscripts/run-concept-extraction-browser-e2e.mjs[39m 29ms (unchanged)
[90mscripts/run-concept-extraction-evals.mjs[39m 14ms (unchanged)
[90mscripts/run-critical-browser-e2e-wrapper.mjs[39m 2ms (unchanged)
[90mscripts/run-critical-browser-e2e.mjs[39m 49ms (unchanged)
[90mscripts/run-evals.mjs[39m 71ms (unchanged)
scripts/run-exam-engine-browser-e2e-final.mjs 9ms
[90mscripts/run-exam-engine-browser-e2e.mjs[39m 28ms (unchanged)
[90mscripts/run-exam-engine-evals.mjs[39m 11ms (unchanged)
[90mscripts/run-global-search-evals.mjs[39m 9ms (unchanged)
[90mscripts/run-golden-quiz-evals.mjs[39m 34ms (unchanged)
scripts/run-long-media-browser-e2e-final.mjs 5ms
[90mscripts/run-long-media-browser-e2e-v2.mjs[39m 29ms (unchanged)
[90mscripts/run-long-media-browser-e2e.mjs[39m 29ms (unchanged)
[90mscripts/run-long-media-evals.mjs[39m 6ms (unchanged)
[90mscripts/run-open-answer-evidence-browser-e2e.mjs[39m 20ms (unchanged)
[90mscripts/run-open-answer-evidence-evals.mjs[39m 6ms (unchanged)
[90mscripts/run-per-question-evidence-evals.mjs[39m 5ms (unchanged)
[90mscripts/run-private-ocr-provider.mjs[39m 8ms (unchanged)
[90mscripts/run-question-evidence-browser-e2e.mjs[39m 17ms (unchanged)
[90mscripts/run-store-safety-evals.mjs[39m 9ms (unchanged)
[90mscripts/run-study-command-center-evals.mjs[39m 5ms (unchanged)
[90mscripts/run-study-pack-evals.mjs[39m 2ms (unchanged)
[90mscripts/run-workspace-backup-browser-e2e.mjs[39m 30ms (unchanged)
[90mscripts/run-workspace-backup-evals.mjs[39m 12ms (unchanged)
[90mscripts/verify-ai-source-contract.mjs[39m 6ms (unchanged)
scripts/verify-automatic-transcription-contract.mjs 6ms
[90mscripts/verify-concept-evidence-contract.mjs[39m 5ms (unchanged)
[90mscripts/verify-concept-extraction-contract.mjs[39m 4ms (unchanged)
[90mscripts/verify-core-ui-audit.mjs[39m 4ms (unchanged)
[90mscripts/verify-course-workspace-contract.mjs[39m 2ms (unchanged)
[90mscripts/verify-critical-browser-e2e-contract.mjs[39m 4ms (unchanged)
[90mscripts/verify-detail-route-contract.mjs[39m 3ms (unchanged)
[90mscripts/verify-docs.mjs[39m 3ms (unchanged)
[90mscripts/verify-evaluation-fixtures.mjs[39m 8ms (unchanged)
scripts/verify-exam-engine-contract.mjs 6ms
[90mscripts/verify-flashcard-studio-contract.mjs[39m 2ms (unchanged)
[90mscripts/verify-global-search-v2-contract.mjs[39m 3ms (unchanged)
[90mscripts/verify-golden-quiz-quality-contract.mjs[39m 3ms (unchanged)
[90mscripts/verify-image-ocr-contract.mjs[39m 4ms (unchanged)
[90mscripts/verify-image-preprocessing-contract.mjs[39m 3ms (unchanged)
[90mscripts/verify-long-media-contract.mjs[39m 6ms (unchanged)
[90mscripts/verify-multipage-image-contract.mjs[39m 3ms (unchanged)
[90mscripts/verify-notes-editor-contract.mjs[39m 2ms (unchanged)
[90mscripts/verify-ocr-region-overlay-contract.mjs[39m 4ms (unchanged)
[90mscripts/verify-open-answer-evidence-contract.mjs[39m 7ms (unchanged)
[90mscripts/verify-per-question-evidence-contract.mjs[39m 5ms (unchanged)
[90mscripts/verify-quiz-studio-contract.mjs[39m 5ms (unchanged)
[90mscripts/verify-store-safety-contract.mjs[39m 4ms (unchanged)
[90mscripts/verify-study-command-center-contract.mjs[39m 4ms (unchanged)
[90mscripts/verify-study-pack-contract.mjs[39m 3ms (unchanged)
[90mscripts/verify-syllabus-review-contract.mjs[39m 3ms (unchanged)
[90mscripts/verify-visual-backup-contract.mjs[39m 2ms (unchanged)
[90mscripts/verify-workspace-backup-contract.mjs[39m 3ms (unchanged)
[90msrc/components/ai-draft-editors.tsx[39m 123ms (unchanged)
[90msrc/components/ai-draft-modal.tsx[39m 43ms (unchanged)
[90msrc/components/ai-generate-dialog-impl.tsx[39m 81ms (unchanged)
[90msrc/components/ai-generate-dialog.tsx[39m 2ms (unchanged)
[90msrc/components/ai-side-actions.tsx[39m 35ms (unchanged)
[90msrc/components/app-shell.tsx[39m 13ms (unchanged)
src/components/automatic-transcription-panel.tsx 58ms
[90msrc/components/concept-evidence-lifecycle.tsx[39m 2ms (unchanged)
[90msrc/components/concept-evidence-risk-summary.tsx[39m 17ms (unchanged)
[90msrc/components/concept-evidence-workspace.tsx[39m 71ms (unchanged)
[90msrc/components/concept-extraction-review.tsx[39m 36ms (unchanged)
[90msrc/components/concept-open-answer-review.tsx[39m 64ms (unchanged)
[90msrc/components/course-library.tsx[39m 40ms (unchanged)
[90msrc/components/course-workspace.tsx[39m 74ms (unchanged)
[90msrc/components/evidence-quiz-experience.tsx[39m 42ms (unchanged)
src/components/exam-engine-restored-result.tsx 11ms
[90msrc/components/exam-engine.tsx[39m 38ms (unchanged)
[90msrc/components/flashcard-experience.tsx[39m 25ms (unchanged)
[90msrc/components/flashcard-studio.tsx[39m 118ms (unchanged)
[90msrc/components/golden-quiz-experience.tsx[39m 38ms (unchanged)
[90msrc/components/golden-quiz-quality-review.tsx[39m 38ms (unchanged)
[90msrc/components/image-preprocessing-workspace.tsx[39m 53ms (unchanged)
[90msrc/components/long-media-data-boundary.tsx[39m 8ms (unchanged)
[90msrc/components/long-media-lifecycle.tsx[39m 8ms (unchanged)
[90msrc/components/long-media-workspace.tsx[39m 39ms (unchanged)
[90msrc/components/material-intake-queue.tsx[39m 57ms (unchanged)
[90msrc/components/material-intake-review-dialog.tsx[39m 27ms (unchanged)
[90msrc/components/material-intake-route-launcher.tsx[39m 8ms (unchanged)
[90msrc/components/material-output-history.tsx[39m 23ms (unchanged)
[90msrc/components/material-workspace.tsx[39m 61ms (unchanged)
[90msrc/components/multi-page-image-workspace.tsx[39m 71ms (unchanged)
[90msrc/components/note-editor-workspace.tsx[39m 50ms (unchanged)
[90msrc/components/notes-library.tsx[39m 21ms (unchanged)
[90msrc/components/ocr-region-overlay.tsx[39m 29ms (unchanged)
[90msrc/components/ocr-review-panel.tsx[39m 41ms (unchanged)
[90msrc/components/quiz-library.tsx[39m 29ms (unchanged)
[90msrc/components/quiz-studio.tsx[39m 80ms (unchanged)
[90msrc/components/store-safety-lifecycle.tsx[39m 6ms (unchanged)
[90msrc/components/study-pack-dialog.tsx[39m 15ms (unchanged)
[90msrc/components/study-pack-editor.tsx[39m 26ms (unchanged)
[90msrc/components/study-room-ui.tsx[39m 8ms (unchanged)
[90msrc/components/syllabus-review-workspace.tsx[39m 60ms (unchanged)
[90msrc/components/ui/accordion.tsx[39m 4ms (unchanged)
[90msrc/components/ui/alert-dialog.tsx[39m 7ms (unchanged)
[90msrc/components/ui/alert.tsx[39m 5ms (unchanged)
[90msrc/components/ui/aspect-ratio.tsx[39m 1ms (unchanged)
[90msrc/components/ui/avatar.tsx[39m 3ms (unchanged)
[90msrc/components/ui/badge.tsx[39m 3ms (unchanged)
[90msrc/components/ui/breadcrumb.tsx[39m 8ms (unchanged)
[90msrc/components/ui/button.tsx[39m 3ms (unchanged)
[90msrc/components/ui/calendar.tsx[39m 10ms (unchanged)
[90msrc/components/ui/card.tsx[39m 7ms (unchanged)
[90msrc/components/ui/carousel.tsx[39m 10ms (unchanged)
[90msrc/components/ui/chart.tsx[39m 19ms (unchanged)
[90msrc/components/ui/checkbox.tsx[39m 2ms (unchanged)
[90msrc/components/ui/collapsible.tsx[39m 1ms (unchanged)
[90msrc/components/ui/command.tsx[39m 9ms (unchanged)
[90msrc/components/ui/context-menu.tsx[39m 13ms (unchanged)
[90msrc/components/ui/dialog.tsx[39m 8ms (unchanged)
[90msrc/components/ui/drawer.tsx[39m 9ms (unchanged)
[90msrc/components/ui/dropdown-menu.tsx[39m 11ms (unchanged)
[90msrc/components/ui/form.tsx[39m 7ms (unchanged)
[90msrc/components/ui/hover-card.tsx[39m 2ms (unchanged)
[90msrc/components/ui/input-otp.tsx[39m 4ms (unchanged)
[90msrc/components/ui/input.tsx[39m 2ms (unchanged)
[90msrc/components/ui/label.tsx[39m 2ms (unchanged)
[90msrc/components/ui/menubar.tsx[39m 11ms (unchanged)
[90msrc/components/ui/navigation-menu.tsx[39m 7ms (unchanged)
[90msrc/components/ui/pagination.tsx[39m 5ms (unchanged)
[90msrc/components/ui/popover.tsx[39m 2ms (unchanged)
[90msrc/components/ui/progress.tsx[39m 2ms (unchanged)
[90msrc/components/ui/radio-group.tsx[39m 2ms (unchanged)
[90msrc/components/ui/resizable.tsx[39m 2ms (unchanged)
[90msrc/components/ui/scroll-area.tsx[39m 3ms (unchanged)
[90msrc/components/ui/select.tsx[39m 8ms (unchanged)
[90msrc/components/ui/separator.tsx[39m 3ms (unchanged)
[90msrc/components/ui/sheet.tsx[39m 9ms (unchanged)
[90msrc/components/ui/sidebar.tsx[39m 42ms (unchanged)
[90msrc/components/ui/skeleton.tsx[39m 2ms (unchanged)
[90msrc/components/ui/slider.tsx[39m 6ms (unchanged)
[90msrc/components/ui/sonner.tsx[39m 2ms (unchanged)
[90msrc/components/ui/switch.tsx[39m 2ms (unchanged)
[90msrc/components/ui/table.tsx[39m 9ms (unchanged)
[90msrc/components/ui/tabs.tsx[39m 5ms (unchanged)
[90msrc/components/ui/textarea.tsx[39m 2ms (unchanged)
[90msrc/components/ui/toggle-group.tsx[39m 5ms (unchanged)
[90msrc/components/ui/toggle.tsx[39m 4ms (unchanged)
[90msrc/components/ui/tooltip.tsx[39m 3ms (unchanged)
[90msrc/components/visual-source-lifecycle.tsx[39m 3ms (unchanged)
[90msrc/content-workspace-global.css[39m 30ms (unchanged)
[90msrc/content-workspace.css[39m 46ms (unchanged)
[90msrc/hooks/use-mobile.tsx[39m 2ms (unchanged)
[90msrc/lib/ai.ts[39m 33ms (unchanged)
[90msrc/lib/app-context.tsx[39m 5ms (unchanged)
[90msrc/lib/automatic-transcription-store.ts[39m 10ms (unchanged)
src/lib/automatic-transcription.ts 24ms
[90msrc/lib/concept-evidence.ts[39m 23ms (unchanged)
[90msrc/lib/concept-extraction-client.ts[39m 4ms (unchanged)
[90msrc/lib/concept-extraction.ts[39m 17ms (unchanged)
[90msrc/lib/concept-store.ts[39m 23ms (unchanged)
[90msrc/lib/document-ingestion.ts[39m 30ms (unchanged)
[90msrc/lib/error-capture.ts[39m 4ms (unchanged)
[90msrc/lib/error-page.ts[39m 1ms (unchanged)
[90msrc/lib/exam-engine-store.ts[39m 21ms (unchanged)
[90msrc/lib/exam-engine.ts[39m 48ms (unchanged)
[90msrc/lib/global-search.ts[39m 39ms (unchanged)
[90msrc/lib/golden-quiz-quality.ts[39m 32ms (unchanged)
[90msrc/lib/golden-quiz.ts[39m 7ms (unchanged)
[90msrc/lib/i18n.ts[39m 59ms (unchanged)
[90msrc/lib/image-preprocessing.ts[39m 43ms (unchanged)
[90msrc/lib/image-preprocessing.worker.ts[39m 17ms (unchanged)
[90msrc/lib/ingestion/docx.ts[39m 4ms (unchanged)
[90msrc/lib/ingestion/pdf.ts[39m 7ms (unchanged)
[90msrc/lib/ingestion/xlsx.ts[39m 7ms (unchanged)
[90msrc/lib/install-store-safety.ts[39m 3ms (unchanged)
[90msrc/lib/long-media-store.ts[39m 25ms (unchanged)
[90msrc/lib/long-media.ts[39m 17ms (unchanged)
[90msrc/lib/lovable-error-reporting.ts[39m 4ms (unchanged)
[90msrc/lib/material-chunk-tools.ts[39m 25ms (unchanged)
[90msrc/lib/material-fingerprints.ts[39m 7ms (unchanged)
[90msrc/lib/material-intake.ts[39m 27ms (unchanged)
[90msrc/lib/materials.ts[39m 1ms (unchanged)
[90msrc/lib/multi-page-image-materials.ts[39m 46ms (unchanged)
[90msrc/lib/ocr-client.ts[39m 8ms (unchanged)
[90msrc/lib/ocr-contract.ts[39m 39ms (unchanged)
[90msrc/lib/open-answer-review-client.ts[39m 8ms (unchanged)
[90msrc/lib/open-answer-review.ts[39m 11ms (unchanged)
[90msrc/lib/persistence-health.ts[39m 4ms (unchanged)
[90msrc/lib/quiz-attempt-details.ts[39m 16ms (unchanged)
[90msrc/lib/server/ai-generation.ts[39m 39ms (unchanged)
src/lib/server/automatic-transcription-provider.ts 12ms
[90msrc/lib/server/concept-extraction-generation.ts[39m 19ms (unchanged)
[90msrc/lib/server/gemini.ts[39m 9ms (unchanged)
[90msrc/lib/server/golden-quiz-generation.ts[39m 14ms (unchanged)
[90msrc/lib/server/ocr-generation.ts[39m 5ms (unchanged)
[90msrc/lib/server/open-answer-review-generation.ts[39m 6ms (unchanged)
[90msrc/lib/server/study-pack-generation.ts[39m 26ms (unchanged)
[90msrc/lib/source-integrity.ts[39m 15ms (unchanged)
[90msrc/lib/store-multipage-compat.d.ts[39m 1ms (unchanged)
[90msrc/lib/store.ts[39m 76ms (unchanged)
[90msrc/lib/study-command-center.ts[39m 22ms (unchanged)
[90msrc/lib/study-pack-persistence.ts[39m 6ms (unchanged)
[90msrc/lib/study-pack.ts[39m 10ms (unchanged)
[90msrc/lib/syllabus-parser.ts[39m 74ms (unchanged)
[90msrc/lib/syllabus-review.ts[39m 39ms (unchanged)
[90msrc/lib/utils.ts[39m 1ms (unchanged)
[90msrc/lib/visual-backup.ts[39m 64ms (unchanged)
[90msrc/lib/visual-source-store.ts[39m 26ms (unchanged)
[90msrc/lib/workspace-backup.ts[39m 43ms (unchanged)
[90msrc/router.tsx[39m 2ms (unchanged)
[90msrc/routes/__root.tsx[39m 8ms (unchanged)
[90msrc/routes/api/ai/extract-concepts.ts[39m 2ms (unchanged)
[90msrc/routes/api/ai/generate-assignment-breakdown.ts[39m 2ms (unchanged)
[90msrc/routes/api/ai/generate-flashcards.ts[39m 1ms (unchanged)
[90msrc/routes/api/ai/generate-note.ts[39m 2ms (unchanged)
[90msrc/routes/api/ai/generate-presentation-outline.ts[39m 2ms (unchanged)
[90msrc/routes/api/ai/generate-quiz.ts[39m 2ms (unchanged)
[90msrc/routes/api/ai/generate-study-pack.ts[39m 2ms (unchanged)
[90msrc/routes/api/ai/generate-topic-explanation.ts[39m 2ms (unchanged)
[90msrc/routes/api/ai/ocr-image.ts[39m 2ms (unchanged)
[90msrc/routes/api/ai/parse-syllabus.ts[39m 16ms (unchanged)
[90msrc/routes/api/ai/review-open-answer.ts[39m 2ms (unchanged)
[90msrc/routes/api/ai/simplify-text.ts[39m 2ms (unchanged)
[90msrc/routes/api/ai/status.ts[39m 2ms (unchanged)
src/routes/api/ai/transcribe-long-media.ts 4ms
[90msrc/routes/api/ai/transcription-status.ts[39m 1ms (unchanged)
[90msrc/routes/api/ai/translate-text.ts[39m 2ms (unchanged)
[90msrc/routes/app.assignments.tsx[39m 13ms (unchanged)
[90msrc/routes/app.calendar.tsx[39m 26ms (unchanged)
[90msrc/routes/app.courses_.$courseId.tsx[39m 3ms (unchanged)
[90msrc/routes/app.courses.tsx[39m 1ms (unchanged)
[90msrc/routes/app.dashboard.tsx[39m 48ms (unchanged)
[90msrc/routes/app.data.tsx[39m 42ms (unchanged)
[90msrc/routes/app.exam-engine.tsx[39m 3ms (unchanged)
[90msrc/routes/app.flashcards.tsx[39m 1ms (unchanged)
[90msrc/routes/app.import-syllabus.tsx[39m 1ms (unchanged)
[90msrc/routes/app.index.tsx[39m 1ms (unchanged)
[90msrc/routes/app.lecture-media.tsx[39m 21ms (unchanged)
src/routes/app.materials_.$materialId.tsx 5ms
[90msrc/routes/app.materials.tsx[39m 32ms (unchanged)
[90msrc/routes/app.notes.$noteId.tsx[39m 1ms (unchanged)
[90msrc/routes/app.notes.tsx[39m 1ms (unchanged)
[90msrc/routes/app.presentations_.$outlineId.tsx[39m 8ms (unchanged)
[90msrc/routes/app.presentations.tsx[39m 4ms (unchanged)
[90msrc/routes/app.program.tsx[39m 7ms (unchanged)
[90msrc/routes/app.progress.tsx[39m 15ms (unchanged)
[90msrc/routes/app.quiz-quality_.$quizId.tsx[39m 1ms (unchanged)
[90msrc/routes/app.quizzes_.$quizId.tsx[39m 1ms (unchanged)
[90msrc/routes/app.quizzes.tsx[39m 1ms (unchanged)
[90msrc/routes/app.search.tsx[39m 24ms (unchanged)
[90msrc/routes/app.settings.tsx[39m 9ms (unchanged)
[90msrc/routes/app.study-plan.tsx[39m 16ms (unchanged)
[90msrc/routes/app.study-session.tsx[39m 8ms (unchanged)
[90msrc/routes/app.tsx[39m 2ms (unchanged)
[90msrc/routes/index.tsx[39m 1ms (unchanged)
[90msrc/routes/README.md[39m 10ms (unchanged)
[90msrc/server.ts[39m 5ms (unchanged)
[90msrc/start.ts[39m 2ms (unchanged)
[90msrc/study-command-center.css[39m 39ms (unchanged)
[90msrc/styles.css[39m 262ms (unchanged)
[90mSTATUS.md[39m 36ms (unchanged)
[90mTASKS.md[39m 61ms (unchanged)
[90mtsconfig.json[39m 2ms (unchanged)
[90mvite.config.ts[39m 2ms (unchanged)

> build
> vite build

[33mThe plugin "vite-tsconfig-paths" is detected. Vite now supports tsconfig paths resolution natively via the [1mresolve.tsconfigPaths[22m option. You can remove the plugin and set [1mresolve.tsconfigPaths: true[22m in your Vite config instead.[39m
[36mvite v8.0.16 [32mbuilding client environment for production...[36m[39m
[2Ktransforming...✓ 2398 modules transformed.
rendering chunks...
computing gzip size...
.output/public/assets/image-preprocessing.worker-B7LaHJE7.js         4.50 kB
.output/public/assets/pdf.worker-CPbhI6B3.mjs                    2,206.29 kB
.output/public/assets/content-workspace-global-DxTEYmw3.css          0.84 kB │ gzip:   0.36 kB
.output/public/assets/index--1c_M5bZ.css                             5.85 kB │ gzip:   1.60 kB
.output/public/assets/app-shell-DHXX4Tue.css                        10.53 kB │ gzip:   2.68 kB
.output/public/assets/styles-Dq9WoNuZ.css                          169.34 kB │ gzip:  32.47 kB
.output/public/assets/pdf.worker-DjB-gKUu.js                         0.06 kB │ gzip:   0.08 kB
.output/public/assets/chevron-left-BEafdcqP.js                       0.11 kB │ gzip:   0.13 kB
.output/public/assets/chevron-right-cTrwgFfX.js                      0.11 kB │ gzip:   0.13 kB
.output/public/assets/loader-circle-DDDpK-dV.js                      0.13 kB │ gzip:   0.14 kB
.output/public/assets/square-DD71K0hu.js                             0.13 kB │ gzip:   0.14 kB
.output/public/assets/plus-C51wx0if.js                               0.14 kB │ gzip:   0.14 kB
.output/public/assets/x-DSdbgk_U.js                                  0.14 kB │ gzip:   0.14 kB
.output/public/assets/arrow-left-Cwb6L6Wx.js                         0.15 kB │ gzip:   0.15 kB
.output/public/assets/app.quizzes-BaIx6OTk.js                        0.15 kB │ gzip:   0.14 kB
.output/public/assets/clock-3-DJSggQsB.js                            0.15 kB │ gzip:   0.15 kB
.output/public/assets/search-4Z0ffsc3.js                             0.16 kB │ gzip:   0.16 kB
.output/public/assets/circle-check-DB1JUI1W.js                       0.16 kB │ gzip:   0.16 kB
.output/public/assets/play-rNtxXHEw.js                               0.17 kB │ gzip:   0.17 kB
.output/public/assets/square-check-Ba8sYIoJ.js                       0.18 kB │ gzip:   0.17 kB
.output/public/assets/rotate-ccw-296jzQlq.js                         0.18 kB │ gzip:   0.17 kB
.output/public/assets/circle-x-UpGs0ti6.js                           0.19 kB │ gzip:   0.17 kB
.output/public/assets/target-DniJiLOx.js                             0.21 kB │ gzip:   0.15 kB
.output/public/assets/git-merge-CfK9WDYm.js                          0.21 kB │ gzip:   0.18 kB
.output/public/assets/upload-DSmNMaCG.js                             0.21 kB │ gzip:   0.18 kB
.output/public/assets/download-ZwXSagMV.js                           0.22 kB │ gzip:   0.18 kB
.output/public/assets/presentation-DqHU8Mvm.js                       0.22 kB │ gzip:   0.18 kB
.output/public/assets/copy-gYWBGysQ.js                               0.22 kB │ gzip:   0.20 kB
.output/public/assets/external-link-tZXGQYIN.js                      0.24 kB │ gzip:   0.19 kB
.output/public/assets/triangle-alert-aoWjAbVJ.js                     0.25 kB │ gzip:   0.20 kB
.output/public/assets/pencil-C-af5j51.js                             0.26 kB │ gzip:   0.21 kB
.output/public/assets/book-open-DtJ-WMRW.js                          0.26 kB │ gzip:   0.19 kB
.output/public/assets/shield-check-CQ_iuO5z.js                       0.30 kB │ gzip:   0.24 kB
.output/public/assets/refresh-cw-CrDWSKpl.js                         0.31 kB │ gzip:   0.21 kB
.output/public/assets/save-DPcr-6WW.js                               0.31 kB │ gzip:   0.21 kB
.output/public/assets/trash-2-eC6ulD-H.js                            0.31 kB │ gzip:   0.20 kB
.output/public/assets/book-open-check-B9l2u9Ev.js                    0.32 kB │ gzip:   0.22 kB
.output/public/assets/file-question-mark-DvQDcxUM.js                 0.32 kB │ gzip:   0.23 kB
.output/public/assets/file-up-BJNOXSw9.js                            0.34 kB │ gzip:   0.23 kB
.output/public/assets/shield-alert-DZHSqaD6.js                       0.34 kB │ gzip:   0.25 kB
.output/public/assets/file-input-CDebn_tO.js                         0.34 kB │ gzip:   0.24 kB
.output/public/assets/file-text-DpFp4jBY.js                          0.37 kB │ gzip:   0.24 kB
.output/public/assets/file-image-BF0PSNHt.js                         0.38 kB │ gzip:   0.26 kB
.output/public/assets/layers-BP-H5wZT.js                             0.41 kB │ gzip:   0.23 kB
.output/public/assets/folder-open-CxT82Z3j.js                        0.47 kB │ gzip:   0.31 kB
.output/public/assets/sparkles-ONCdxpGf.js                           0.48 kB │ gzip:   0.27 kB
.output/public/assets/textarea-BV8SCdxn.js                           0.55 kB │ gzip:   0.37 kB
.output/public/assets/shuffle-D9NnfHsI.js                            0.57 kB │ gzip:   0.31 kB
.output/public/assets/redirect-BB44wZa9.js                           0.58 kB │ gzip:   0.35 kB
.output/public/assets/languages-pEOA9HKB.js                          0.58 kB │ gzip:   0.33 kB
.output/public/assets/scan-search-DOhYunGk.js                        0.65 kB │ gzip:   0.35 kB
.output/public/assets/input-BiwLCbHx.js                              0.65 kB │ gzip:   0.40 kB
.output/public/assets/file-video-camera-CZYsoURQ.js                  0.76 kB │ gzip:   0.37 kB
.output/public/assets/xlsx-BFKXlJYW.js                               1.03 kB │ gzip:   0.63 kB
.output/public/assets/label-CFyRgwQl.js                              1.06 kB │ gzip:   0.62 kB
.output/public/assets/golden-quiz-DgsxQNUN.js                        1.15 kB │ gzip:   0.69 kB
.output/public/assets/chunk-CMxvf4Kt.js                              1.21 kB │ gzip:   0.67 kB
.output/public/assets/pdf-CGNV5HJk.js                                1.48 kB │ gzip:   0.85 kB
.output/public/assets/ai-CEw4eYgz.js                                 1.81 kB │ gzip:   0.81 kB
.output/public/assets/app.presentations-DNxFFVdy.js                  1.88 kB │ gzip:   0.87 kB
.output/public/assets/automatic-transcription-store-Cz5hqVN9.js      2.21 kB │ gzip:   0.74 kB
.output/public/assets/app.program-BNeblmCa.js                        2.86 kB │ gzip:   1.01 kB
.output/public/assets/app.presentations_._outlineId-DiY1jJ50.js      3.54 kB │ gzip:   1.26 kB
.output/public/assets/button-Dmx-DmKd.js                             3.62 kB │ gzip:   1.60 kB
.output/public/assets/app.study-session-C50ehkNv.js                  4.30 kB │ gzip:   1.54 kB
.output/public/assets/document-ingestion-D2VJSFlr.js                 4.44 kB │ gzip:   1.98 kB
.output/public/assets/quiz-attempt-details-DcSYk14D.js               4.52 kB │ gzip:   1.73 kB
.output/public/assets/app.study-plan-ZbGYhUzZ.js                     4.65 kB │ gzip:   1.78 kB
.output/public/assets/app.progress-D_gkRqZs.js                       5.27 kB │ gzip:   1.67 kB
.output/public/assets/app.calendar-BaHAFzUF.js                       6.19 kB │ gzip:   2.16 kB
.output/public/assets/app.settings-DrkNNvII.js                       6.22 kB │ gzip:   2.47 kB
.output/public/assets/app-shell-Dqxuasan.js                          6.51 kB │ gzip:   2.54 kB
.output/public/assets/ai-draft-modal-BFj58Ffp.js                     7.46 kB │ gzip:   2.77 kB
.output/public/assets/jsx-runtime-CWteFE1C.js                        7.88 kB │ gzip:   2.98 kB
.output/public/assets/app.assignments-D9-hOAsj.js                    7.95 kB │ gzip:   2.57 kB
